R,,  7983 .treering.R
R,,    10 .InsectSprays.R
R,,     6 .discoveries.R
R,,   250 .sunspots.R
R,,    41 .faithful.R
R,,    11 .warpbreaks.R
R,,    24 .Orange.R
R,,    89 .tkttest.R
R,,   104 .tkdensity.R
R,,   151 .tkcanvas.R
R,,    32 .tkfaq.R
R,,    51 .tcltk-defunct.R
R,,    40 .tclsearch.R
R,,   221 .utils.R
R,,   151 .tkGUI.R
R,,   631 .Tk.R
R,,    20 .zzzstub.R
R,,    87 .zzz.R
R,,    80 .tclarray.R
R,,    62 .zzz.R
R,,    25 .Tk-frontend.R
R,,    37 .completion.R
R,,    84 .Sweave-tst.R
R,,    98 .charclass.R
R,,   176 .download.file.R
R,,   278 .edit.R
R,,   189 .sourceutils.R
R,,   141 .linkhtml.R
R,,    44 .askYesNo.R
R,,   127 .progressBar.R
R,,    76 .modifyList.R
R,,    49 .page.R
R,,  1392 .completion.R
R,,   196 .packageStatus.R
R,,   193 .de.R
R,,   187 .head.R
R,,   156 .relist.R
R,,   811 .SweaveDrivers.R
R,,    19 .charClass.R
R,,   106 .example.R
R,,  1623 .citation.R
R,,   289 .help.R
R,,    64 .sock.R
R,,   179 .write.table.R
R,,   187 .question.R
R,,   632 .Sweave.R
R,,    99 .help.start.R
R,,   137 .vignette.R
R,,    21 .hasName.R
R,,    20 .alarm.R
R,,    74 .read.fortran.R
R,,    49 .capture.output.R
R,,   122 .demo.R
R,,    74 .object.size.R
R,,   579 .tar.R
R,,    18 .utils-deprecated.R
R,,    39 .glob2rx.R
R,,  1152 .packages.R
R,,   242 .data.R
R,,    81 .frametools.R
R,,   872 .help.search.R
R,,   140 .help.request.R
R,,   991 .packages2.R
R,,   625 .objects.R
R,,   292 .summRprof.R
R,,    94 .apropos.R
R,,   277 .read.DIF.R
R,,   235 .findLineNum.R
R,,    76 .widgets.R
R,,   154 .changedFiles.R
R,,   258 .sessionInfo.R
R,,   170 .RShowDoc.R
R,,    50 .history.R
R,,   137 .iconv.R
R,,   190 .mac.install.R
R,,   134 .create.post.R
R,,    29 .sysutils.R
R,,    89 .download.file.R
R,,    34 .Rprof.R
R,,   251 .indices.R
R,,   292 .package.skeleton.R
R,,    42 .utils-defunct.R
R,,    92 .read.fwf.R
R,,   100 .adist.R
R,,    27 .toLatex.R
R,,    50 .menu.R
R,,    67 .URLencode.R
R,,    24 .filetest.R
R,,   126 .zip.R
R,,    63 .mirrorAdmin.R
R,,    54 .zzz.R
R,,    93 .debugcall.R
R,,    56 .RSiteSearch.R
R,,    80 .format.R
R,,    48 .readhttp.R
R,,   148 .roman.R
R,,    64 .sysdata.R
R,,   124 .bug.report.R
R,,    86 .create.post.R
R,,   307 .install.packages.R
R,,    99 .winDialog.R
R,,   121 .sysutils.R
R,,    90 .download.file.R
R,,    21 .Rconsole.R
R,,    45 .choose.files.R
R,,   155 .debugger.R
R,,   236 .rtags.R
R,,   108 .browseVignettes.R
R,,   728 .str.R
R,,    34 .fix.R
R,,   205 .news.R
R,,  1266 .aspell.R
R,,    87 .strcapture.R
R,,   103 .combn.R
R,,   455 .prompt.R
R,,   269 .databrowser.R
R,,   323 .readtable.R
R,,    23 .confint.R
R,,    21 .BIC.R
R,,   435 .mle.R
R,,   116 .Common.R
R,,    35 .sparse-tst.R
R,,   277 .spline-tst.R
R,,   213 .splines.R
R,,    22 .zzz.R
R,,   627 .splineClasses.R
R,,    63 .hclColors.R
R,,   108 .colors.R
R,,    84 .xfig-tests.R
R,,    34 .saved-recordPlot.R
R,,    39 .ps-tests.R
R,,    47 .convertColor-tests.R
R,,    49 .gevents.R
R,,   991 .postscript.R
R,,    57 .utils.R
R,,     4 .mask.R
R,,    77 .smooth2d.R
R,,    26 .pictex.R
R,,   112 .patterns.R
R,,   398 .device.R
R,,   264 .xyz.coords.R
R,,   343 .colorstuff.R
R,,   134 .cairo.R
R,,    20 .cm.R
R,,   169 .raster.R
R,,    77 .colorRamp.R
R,,   184 .quartz.R
R,,   113 .dev2bitmap.R
R,,   197 .png.R
R,,   252 .x11.R
R,,   119 .recordplot.R
R,,   152 .calc.R
R,,   265 .prettyDate.R
R,,   204 .hcl.colors.R
R,,    58 .zzz.R
R,,   377 .convertColor.R
R,,   307 .windows.R
R,,   114 .dev2bitmap.R
R,,   203 .png.R
R,,    22 .clippath.R
R,,    34 .Hershey.R
R,,   716 .Japanese.R
R,,   197 .plotmath.R
